url,label
https://www.example.com,0
https://www.wikipedia.org,0
https://www.bbc.co.uk/news,0
https://www.gov.uk/student-visa,0
https://www.python.org/downloads,0
https://learn.microsoft.com/en-us/training,0
https://www.open.ac.uk/courses,0
https://www.cisco.com/site/us/en/learn/training-certifications.html,0
https://accounts.example.com/login,0
https://support.example.org/help/account,0
http://verify-account-example-login.test/security-update,1
http://192.168.1.22/login/verify-account,1
http://secure-bank-update-example.test/confirm-password,1
http://account-billing-urgent-example.test/signin,1
https://login.example.test@fake-security-update.test,1
http://wallet-confirmation-example.test/update-now,1
http://free-prize-account-verify-example.test/login,1
http://example-security-check.test/password-reset,1
http://banking-login-confirm-example.test/urgent,1
http://signin-update-billing-example.test/account,1
https://www.university.example.edu/library,0
https://portal.example.edu/student/login,0
http://student-finance-verify-now-example.test/update,1
http://secure-login-account-warning-example.test/,1
